No_,"Manufacturer ID",Description,Price,"Retail Price Incl_ GST",AvailableQty,Rocklea,Sydney,"Net Weight","Brand Code","Product Group Code","Minor Category 1","Minor Category 2","Vendor Name","Vendor URL","Item URL",Warranty,Dimension,"Item Description",Image
II21072,MF-AUS3P2C13-02,"ALO CAB POWERCORD-3PIN-2IEC-SPLITTER",20.50,18.17,4,4,0,0.3,ALO,CAB,CAB-POWER,#,Alogic,,,"1 year",,"Alogic MF-AUS3P2C13-02, Aus 3 Mains Plug to 2 X IEC C13 Y Splitter Cable, Male to 2x Female, 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II21072/full/ALO-CAB-POWERCORD-3PIN-2IEC-SPLITTER.jpg
II03820,AUSC00022,"GNR CAB PS2-EXT-2MT",6.00,22,9,9,0,0.3,GNR,CAB,CAB-OTHER,#,,,,,"27 x 12 x 1","PS2 Extension Cable 2 Mts.",https://images.auscomp.au/uploads/images/II03820/full/GNR-CAB-PS2-EXT-2MT.jpg
II22441,UC-2005AAE,"8WR CAB USB-EXT-AM-AF-5M",2.55,8,7,7,0,0.3,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,,"27 x 20 x 3","8ware UC-2005AAE, USB 2.0 Certified Extension Cable Type A to A M/F Transparent, 5m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II22441/full/8WR-CAB-USB-EXT-AM-AF-5M.jpg
II12855,SATA-E009,"GNR CAB MOLEX-SLIM-SATA",5.00,16,11,11,0,0.3,GNR,CAB,CAB-HDD,#,,,,,"22 x 12 x 1","Molex to Slimline SATA Power + Data Cable 15cm + 80cm",https://images.auscomp.au/uploads/images/II12855/full/GNR-CAB-MOLEX-SLIM-SATA.jpg
II00545,CAT5E-CRS-10M,"GNR CAB NW-10-CRS",99.00,141.57,18,18,0,0.3,GNR,CAB,CAB-CAT5,#,,,,,"31 x 15 x 3","Genercic Cat5e Cross Network Cable - 10m",https://images.auscomp.au/uploads/images/II00545/full/GNR-CAB-NW-10-CRS.jpg
II19252,RC-DP2,"8WR CAB DISPLAYPORT-M-M-2M",8.90,19,14,14,0,0.3,8WR,CAB,CAB-VGA,#,8Ware,www.8ware.com.au,,"1 year ","27 x 19 x 3","8ware RC-DP2, DisplayPort Cable, 20 pins Male to Male, 1.2V 30AWG Gold Plated, 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II19252/full/8WR-CAB-DISPLAYPORT-M-M-2M.jpg
II18147,UC-3002AUB,"8WR CAB USB-A-B-MICRO-2M-BLUE",2.00,17,1,1,0,0.3,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,"1 Year ","26 x 11 x 2","8ware UC-3002AUB, USB3.0 A-Male to Micro-USB B-Male, 2m, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II18147/full/8WR-CAB-USB-A-B-MICRO-2M-BLUE.jpg
II18163,DVI-DDE2,"8WR CAB DVI-D-M-F-2M",9.00,12.87,2,2,0,0.225,8WR,CAB,CAB-VGA,#,8Ware,www.8ware.com.au,,,"24 x 16 x 3","8ware DVI-DDE2, Dual-Link DVI-D Extension Cable, 2m - M/F, Dual-Link DVI-D Male (25 pin), Dual-Link DVI-D Female (25 pin)",https://images.auscomp.au/uploads/images/II18163/full/1667892523.jpg
II19884,AT-USB3-AMAM-2M,"ASO CAB AT-USB3-AM-AM-2M",3.30,10,20,20,0,0.3,ASO,CAB,CAB-USB,#,Astrotek,www.astrotek.com,,,"24 x 17 x 2","Astrotek AT-USB3-AMAM-2M, USB3.0 A-Male to A-Male Cable, Blue, 2m, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/21991842/21991842-8621.jpg
II20079,RC-HDMI-OEM,"8WR CAB HDMI-M-M-1.8M",4.70,11,50+,50+,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,,"23 x 17 x 3","8ware RC-HDMI-OEM, HDMI Cable Male to Male OEM,1.8, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II20079/full/8WR-CAB-HDMI-M-M-18M.jpg
II15490,UC-3001AUB,"8WR CAB USB-A-B-MICRO-1M",3.50,16,5,5,0,0.2,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,,,"8ware UC-3001AUB, USB3.0 A-Male to Micro-USB B-Male, 1m, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II15490/full/8WR-CAB-USB-A-B-MICRO-1M.jpg
II23979,RC-3078AU,"8WR CAB 3-PIN-POWER-WALL-PC-1.8M",4.30,9,15,15,0,0.2,8WR,CAB,CAB-POWER,#,8Ware,www.8ware.com.au,,,,"8ware RC-3078AU, Power Cable Male Wall 240V PC, 1.8m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II23979/full/8WR-CAB-3-PIN-POWER-WALL-PC-18M.jpg
II24546,AUSC00061,"GNR CAB SYNC-USB2-MICROUSB-GRY",10.00,15,2,2,0,0.3,GNR,CAB,CAB-USB,#,Generic,,,,,"Generic USB2.0 2in1 Mobile Phone and Data Charging Cable USB 2.0, Micro USB, Grey",https://images.auscomp.au/uploads/images/II24546/full/GNR-CAB-SYNC-USB2-MICROUSB-GRY.jpg
II20436,UC-2002AAE,"8WR CAB USB-EXT-AM-AF-2M",2.40,6,6,6,0,0.3,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,,"27 x 12 x 2","8ware UC-2002AAE, USB 2.0 Extension Cable Type A to A M/F Transparent, 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II20436/full/1667892676.jpg
II20864,RC-HDMI-0.5,"8WR CAB HDMI-M-M-0.5M",5.85,10,2,2,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,,"27 x 12 x 2","8ware RC-HDMI, 0.5 High Speed HDMI Cable Male to Male, 0.5m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II20864/full/8WR-CAB-HDMI-M-M-05M.jpg
II21659,RC-3081,"8WR CAB 3-PIN-POWER-IEC-RC3081",4.80,7.01,1,1,0,0.3,8WR,CAB,CAB-POWER,#,8Ware,www.8ware.com.au,,"1 Year","24 x 19 x 3","8ware RC-3081, 3 Pin Main Plug to 2 X IEC Female Connectors 2m, For Wall To 1 PC &amp; 1 Monitor, 1 Year warranty",https://images.auscomp.au/uploads/images/II21659/full/8WR-CAB-3-PIN-POWER-IEC-RC3081.jpg
II20437,UC-2002AUB,"8WR CAB USB-A-B-MICRO-2M",2.40,5,11,11,0,0.075,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,"1 year","27 x 12 x 2","8ware UC-2002AUB, USB 2.0 Cable Type A to Micro-USB B M/M, 2m, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II20437/full/8WR-CAB-USB-A-B-MICRO-2M.jpg
II21277,RC-HDMIEXT3,"8WR CAB HDMI-V1.3-M-F-3M",4.90,24,2,2,0,0.2,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,,,"8ware RC-HDMIEXT3 HDMI V1.3 Male to Female Extention Cable, 3m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II21277/full/8WR-CAB-HDMI-V13-M-F-3M.jpg
II21278,UC-2003AAE,"8WR CAB USB2.0-EXT-AM-AF-3M",2.70,7,4,4,0,0.15,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,"1 Year","24 x 17 x 2","8ware UC-2003AAE USB 2.0 Certified Extension A-A M-F Transparent Metal Sheath Cable 3m, 1 year warranty",https://images.auscomp.au/uploads/images/II21278/full/8WR-CAB-USB20-AM-AF-3M.jpg
II22123,RC-HDMI-1.5,"8WR CAB HDMI-M-M-1.5M",7.50,13,12,12,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,"1 Year",,"8ware RC-HDMI-1.5, High Speed HDMI Cable, Male-Male, Length: 1.5m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II22123/full/8WR-CAB-HDMI-M-M-15M.jpg
II22131,RC-3083,"8WR CAB 3-PIN-POWER-IEC-C14-RC3083",6.00,15,15,15,0,1.5,8WR,CAB,CAB-POWER,#,8Ware,www.8ware.com.au,,"1 Year","28 x 20 x 7","8ware RC-3083, 3 Core Power Cord with Mains Socket to IEC-C14 Male, 15cm, Black, 1 Year warranty",https://images.auscomp.au/uploads/images/II22131/full/8WR-CAB-3-PIN-POWER-IEC-C14-RC3083.jpg
II22191,RC-DVI-Y24M,"8WR CAB DVI-D-M-TO-2DVI-D-M-2M",15.50,22.88,7,7,0,0.3,8WR,CAB,CAB-VGA,#,8Ware,www.8ware.com.au,,,"25 x 18 x 5","8ware  RC-DVI-Y24M, DVI-D Splitter Cable 2m - 1 x DVI-D to 2 x DVI-D - M/M+M 25 Pin",https://images.auscomp.au//uploads/images/II22191/full/8WR-CAB-DVI-D-M-TO-2DVI-D-M-2M.jpg
II23513,AUSC00058,"GNR CAB 3.5MM-2XRCA-AUDIO-2M",4.75,6,16,16,0,0.3,GNR,CAB,CAB-OTHER,#,Generic,,,,"23 x 11 x 1","Genreic 3.5 ST Plug - 2 x RCA Plug 2m",https://images.auscomp.au//uploads/images/II23513/full/GNR-CAB-35MM-2XRCA-AUDIO-2M.jpg
II23985,RC-3054,"8WR CAB VGA-MON-M-F-2M",4.80,10,1,1,0,0.3,8WR,CAB,CAB-VGA,#,8Ware,www.8ware.com.au,,,"27 x 18 x 2","8ware RC-3054, VGA Monitor Extension Cable 2m HD15 pin Male to Female, 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II23985/full/8WR-CAB-VGA-MON-M-F-2M.jpg
II23986,RC-3054F5,"8WR CAB VGA-MON-M-F-FILTER-5M",7.00,10.01,2,2,0,0.375,8WR,CAB,CAB-VGA,#,8Ware,www.8ware.com.au,,,"25 x 17 x 6","8ware RC-3054F5, VGA Monitor Extension Cable HD15M-F with Filter UL Approved 5m",https://images.auscomp.au/uploads/images/II23986/full/8WR-CAB-VGA-MON-M-F-FILTER-5M.jpg
II22188,DVI-DD5,"8WR CAB DVI-D-M-M-5M",13.50,31.9,3,3,0,0.3,8WR,CAB,CAB-VGA,#,8Ware,www.8ware.com.au,,"1 Year","23 x 18 x 4","8ware DVI-DD5, DVI-D Dual-Link Cable 5m - M/M, 1 Year warranty",https://images.auscomp.au//uploads/images/II22188/full/8WR-CAB-DVI-D-M-M-5M.jpg
II22192,RC-HDMIDVI-2H,"8WR CAB HDMI-DVI-M-M-2M",5.40,19,20+,20+,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,"1 Year",,"8ware RC-HDMIDVI-2H, High Speed HDMI to DVI-D Cable M/M Black Blister Pack, 2m, 1 Year Warranty",https://images.auscomp.au//uploads/images/II22192/full/8WR-CAB-HDMI-DVI-M-M-2M.jpg
II22764,RC-HDMI-3H,"8WR CAB HDMI-M-M-3M",4.60,8,19,19,0,1.6,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,,"29 x 17 x 8","8ware RC-HDMI-3H, High Speed HDMI Cable Male to Male, 3m, 1 Year warranty",https://images.auscomp.au/uploads/images/II22764/full/8WR-CAB-HDMI-M-M-3M.jpg
II26929,PL6A-0.5BLU,"8WR CAB NW-CAT6A-0.50M-BLUE",2.40,4.16,7,7,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,,"17 x 10 x 2","8ware PL6A-0.5BLU, 8ware PL6A-0.5BLU, Cat 6a UTP Ethernet Cable, 0.5, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II26929/full/8WR-CAB-NW-CAT6A-050M-BLUE.jpg
II27449,AT-RJ45GR6-0.25M,"ASO CAB NW-CAT6-0.25M-GREY",2.00,4,10,10,0,0.2,ASO,CAB,CAB-CAT6,#,Astrotek,www.astrotek.com,,"1 Year",,"Astrotek AT-RJ45GR6-0.25M, 25cm Cat6 Cable Grey Color Premium RJ45 Ethernet Network LAN UTP Patch Cord 26AWG PVC Jacket",https://images.auscomp.au/uploads/images/II27449/full/ASO-CAB-NW-CAT6-025M-GREY.jpg
II22304,67866,"KEN CAB USB-A-B-MICRO-0.2M",20.00,30,6,6,0,0.1,KEN,CAB,CAB-USB,#,"Kensington ",www.acco.com,,,,"Kensington 67866 ,Charge &amp; Sync Cable, Universal Tablet, USB to Micro USB, 1 Year Warranty",https://images.auscomp.au//uploads/images/II22304/full/KEN-CAB-USB-A-B-MICRO-02M.jpg
II22690,FC-5080,"8WR CAB SATA-SATA-50CM-BLUE",1.90,6,4,4,0,0.3,8WR,CAB,CAB-HDD,#,8Ware,www.8ware.com.au,,"1 Year","27 x 12 x 2","8ware FC-5080, SATA 3 Cable, Straight, 50cm, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II22690/full/8WR-CAB-SATA-SATA-50CM-BLUE.jpg
II23181,RC-MHDMI-3,"8WR CAB HDMI-M-MINIHDMI-M-3M",5.30,13,5,5,0,0.3,8WR,CAB,CAB-HDMI,#,8Ware,www.8ware.com.au,,"1 Year","28 x 20 x 3","8ware RC-MHDMI-3, High Speed HDMI Cable Male to Mini HDMI Male, 3m, 1 Year warranty",https://images.auscomp.au/uploads/images/II23181/full/8WR-CAB-HDMI-M-MINIHDMI-M-3M.jpg
II24558,AUSC00067,"GNR CAB SYNC-USB2-MICROUSB-ORA",7.80,15,2,2,0,0.3,GNR,CAB,CAB-USB,#,Generic,,,,"18 x 10 x 2","Generic USB2.0 2in1 Mobile Phone and Data Charging Cable USB 2.0, Micro USB, Orange",https://images.auscomp.au/uploads/images/II24558/full/GNR-CAB-SYNC-USB2-MICROUSB-ORA.jpg
II26724,PL6A-5YEL,"8WR CAB NW-CAT6A-YELLOW-5M",3.50,9,1,1,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year","27 x 19 x 3","8ware PL6A-5YEL, Cat 6a UTP Ethernet Cable, Yellow, 5m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II26724/full/8WR-CAB-NW-CAT6A-YELLOW-5M.jpg
II28209,AT-VGAEXT-MF-3M,"ASO CAB VGA-EXT-MON-M-F-3M",5.25,9,4,1,0,0.3,ASO,CAB,CAB-VGA,#,Astrotek,www.astrotek.com,,"1 Year","24 x 17 x 3","Astrotek AT-VGAEXT-MF-3M, VGA Extension Cable 3m - 15 pins Male to 15 pins Female for Monitor PC Molded Type Black , 1 Year",https://images.auscomp.au//uploads/icecatimages/4479302/4479302-8718.jpg
II28480,PL6A-0.25BLU,"8WR CAB NW-CAT6A-0.25M-BLUE",2.25,3,50+,20+,20+,0.3,8WR,CAB,CAB-CAT6,#,8Ware,,,"1 Year","17 x 10 x 2","8ware PL6A-0.25BLU, Cat 6 UTP Ethernet Cable, Blue, 0.25m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II28480/full/8WR-CAB-NW-CAT6A-025M-BLUE.jpg
II23988,UC-2001AB,"8WR CAB USB-A-B-TRANSPARENT-1M",1.75,5,14,14,0,0.038,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,"1 Year","27 x 12 x 1","8ware UC-2001AB, USB 2.0 Cable, 1m, A to B Transparent Metal Sheath UL Approved, 1 Year warranty",https://images.auscomp.au/uploads/images/II23988/full/8WR-CAB-USB-A-B-TRANSPARENT-1M.jpg
II23336,UC-2002AB,"8WR CAB USB2.0-A-B-2M",2.60,6,17,17,0,0.3,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,"1 Year","27 x 12 x 2","8ware UC-2002AB, USB 2.0 Certified Cable A to B, 2m, Transparent Metal Sheath UL Approved, 1 Year Warranty",https://images.auscomp.au/uploads/images/II23336/full/8WR-CAB-USB20-A-B-2M.jpg
II27144,PL6A-1BLU,"8WR CAB NW-CAT6A-1M-BLUE",4.50,4.75,6,6,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year","17 x 20 x 2","8ware PL6A-1BLU, Cat 6a UTP Ethernet Cable, Snagless, 1m, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II27144/full/8WR-CAB-NW-CAT6A-1M-BLUE.jpeg
II27588,PL6A-2BLU,"8WR CAB NW-CAT6A-2M-BLUE",3.55,7,20+,20+,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year","27 x 19 x 3","8ware PL6A-2BLU, Cat 6a UTP Ethernet Cable, Snagless, 2m, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II27588/full/8WR-CAB-NW-CAT6A-2M-BLUE.jpg
II24225,UC-2002AC,"8WR CAB USB2.0-TYPE-C-AM/M-2M",5.30,11,1,1,0,0.3,8WR,CAB,CAB-USB,#,8Ware,www.8ware.com.au,,"1 Year",,"8ware UC-2002AC, USB 2.0 Cable Type-C to A M/M, 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II24225/full/8WR-CAB-USB20-TYPE-C-AMM-2M.jpg
II24556,AUSC00065,"GNR CAB SYNC-USB2-MICROUSB-WHT",7.80,15,2,2,0,0.3,GNR,CAB,CAB-USB,#,Generic,,,,,"Generic USB2.0 2in1 Mobile Phone and Data Charging Cable USB 2.0, Micro USB, White",https://images.auscomp.au/uploads/images/II24556/full/GNR-CAB-SYNC-USB2-MICROUSB-WHT.jpg
II28796,A50FBLCLC3,"STT CAB DUPLEX-3M-PATCH-LC",34.00,37.99,1,1,0,0,STT,CAB,CAB-OTHER,#,"StarTech ",https://www.startech.com/en-au,https://www.startech.com/en-au/cables/a50fblclc3?srsltid=AfmBOoqMQpRru7TQA1SKlTNyOD_Sz_H396vY1U6SIhMgaHVU-hdfaRHv,"Limited Lifetime ",,"StarTech A50FBLCLC3, 3m, 10 Gb Aqua Multimode 50/125 Duplex LSZH Fiber Patch Cable, LC to LC OM3 50 Micron Fiber Optic Patch Cord, Limited Lifetime Warranty",https://images.auscomp.au/uploads/images/II28796/full/0/01033111599.jpg
II24894,MUYHSMFF,"STT CAB ION-2X3-3.5MM-M/F-AUDIO-SPLITTER",9.00,1.99,9,9,0,0.1,STT,CAB,CAB-OTHER,#,StarTech,www.startech.com,,,,"StarTech MUYHSMFF, ION to 2x 3 Position 3.5mm Headset Splitter Adapter - M/F - Headphone / Microphone Combo Jack Splitter - Y Cable ",https://images.auscomp.au//uploads/icecatimages/8534651/8534651_8126815086.jpg
II26626,AT-MINIDPHDMI-2,"ASO CAB MINI-DP-M-HDMI-M-2M",5.80,24,4,4,0,0.3,ASO,CAB,CAB-HDMI,#,Astrotek,www.astrotek.com,,"1 Year","24 x 17 x 2","Astrotek AT-MINIDPHDMI-2, Mini DisplayPort  to HDMI Cable, 20 pins Male to 19 pins Male, 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II26626/full/ASO-CAB-MINI-DP-M-HDMI-M-2M.jpg
II27237,PL6A-0.5YEL,"8WR CAB NW-CAT6A-0.50M-YEL",2.30,3,20,20,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year","27 x 12 x 2","8ware PL6A-0.5YEL, 8ware PL6A-0.5YEL, Cat 6a UTP Ethernet Cable, Snagless, 0.5m, Yellow, 1 Year Warranty",https://images.auscomp.au/uploads/images/II27237/full/8WR-CAB-NW-CAT6A-050M-YEL.jpg
II27261,PL6A-5BLU,"8WR CAB NW-CAT6A-5M-BLUE",4.90,9,50+,50+,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year",,"8ware PL6A-5BLU, Cat 6a UTP Ethernet Cable,  5m, Blue, 1 Year Warranty",https://images.auscomp.au/uploads/images/II27261/full/8WR-CAB-NW-CAT6A-5M-BLUE.jpg
II27471,PL6A-1RD,"8WR CAB NW-CAT6A-1M-RED",2.10,4,4,4,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,,,"8ware PLA6-1RD, Cat 6a UTP Ethernet Cable, 1m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II27471/full/8WR-CAB-NW-CAT6A-1M-RED.jpg
II26723,PL6A-1BLK,"8WR CAB NW-CAT6A-1M-BLACK",2.50,4,15,15,0,0.3,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year","27 x 12 x 2","8ware PL6A-1BLK, Cat 6a UTP Ethernet Cable, Snagless, 1m, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II26723/full/8WR-CAB-NW-CAT6A-1M-BLACK.jpg
II26734,PL6A-5ORG,"8WR CAB NW-CAT6A-ORANGE-5M",4.00,11.17,2,2,0,0.15,8WR,CAB,CAB-CAT6,#,8Ware,www.8ware.com.au,,"1 Year","27 x 19 x 3","8ware PL6A-5ORG, Cat 6a UTP Ethernet Cable, 5m, Orange, 1 Year Warranty",https://images.auscomp.au/uploads/images/II26734/full/8WR-CAB-NW-CAT6A-ORANGE-5M.jpg
II27454,AT-RJ45GR6-1M,"ASO CAB NW-CAT6-1M-GREY",2.10,2.61,4,4,0,0.3,ASO,CAB,CAB-CAT6,#,Astrotek,www.astrotek.com,,"1 Year","24 x 17 x 2","Astrotek AT-RJ45GR6-1M, CAT6 Cable 1m - Grey White Color Premium RJ45 Ethernet Network LAN UTP Patch Cord 26AWG-CCA PVC Jacket , 1 Year",https://images.auscomp.au//uploads/icecatimages/22098924/22098924-4970.jpg
II29930,AT-DP-MM-2M,"ASO CAB AT-DP-M-M-2M",9.40,24,50+,50+,20+,0.3,ASO,CAB,CAB-VGA,#,Astrotek,,,,"21 x 16 x 3","Astrotek AT-DP-MM-2M, DisplayPort Cable, 20 pins Male to Male 1.2V, 2m, 1 Year Warranty",https://images.auscomp.au//uploads/icecatimages/21998210/21998210-1699.jpg
II26131,960-001090,"LOG CAM C922",92.00,199.95,20+,20+,0,0.1,LOG,CAM,CAM-WEBCAM,#,Logitech,www.logitech.com.au,http://www.logitech.com/en-au/product/c922-pro-stream-webcam,"1 Year",,"Logitech 960-001090,  C922 Pro Stream Webcam For Game Streaming, Full HD 1080p at 30fps / 720p, Port: USB, 1 Year",https://images.auscomp.au//uploads/icecatimages/35876715/35876715_3415878656.jpg
II28592,960-001105,"LOG CAM BRIO-4K",219.00,439.56,12,12,0,0.63,LOG,CAM,CAM-WEBCAM,#,Logitech,www.logitech.com.au,http://www.logitech.com/en-us/product/brio,"3 Years","14 X 14 X 8","Logitech 960-001105,  BRIO 4K Ultra HD Webcam - Web Camera, Colour 4096 x 2160, Adio, USB, 3 Years",https://images.auscomp.au//uploads/icecatimages/35654009/35654009_0715887796.jpg
II22135,VSK3500E-P-U3,"ANT CAS VSK3500E-P-U3",111.00,137.5,9,9,0,7,ANT,CAS,MID-TOWER,BUSINESS,Antec,www.antec.com,,"2 Year",,"Antec VSK3500E-P-U3, Mid-Tower, Drive Bays: 2x5.25"", 2x3.5"", 1x2.5”, Expansion Slot: 4, Motherboard Support: Micro-ATX, Mini-ITX, Pre Installed Fan: 1x92mm, PSU: 500W, 2 Year Warranty",https://images.auscomp.au/uploads/images/II22135/full/CAA-VSK3500E-P-U3_2.jpg
